Player,#,Pos,Sh,Ht,Wt,Born,Birthplace
Bryan Rust,17,RW,R,5′11″,198,1992-05-11,"Pontiac, Michigan, USA"
Rickard Rakell,67,RW,R,6′1″,191,1993-05-05,"Sundbyberg, SWE"
Valtteri Puustinen,48,RW,R,5′10″,182,1999-06-04,"Kuopio, FIN"
Jesse Puljujarvi,18,RW,R,6′4″,216,1998-05-07,"Alvkarleby, SWE"
Drew O'Connor,10,LW,L,6′4″,209,1998-06-09,"Chatham, New Jersey, USA"
Matt Nieto,83,LW,L,5′11″,189,1992-11-05,"Long Beach, California, USA"
Evgeni Malkin,71,C,L,6′5″,210,1986-07-31,"Magnitogorsk, RUS"
Blake Lizotte,46,C,L,5′9″,173,1997-12-13,"Lindstrom, Minnesota, USA"
Kevin Hayes,13,RW,L,6′5″,216,1992-05-08,"Dorchester, Massachusetts, USA"
Cody Glass,19,C,R,6′3″,201,1999-04-01,"Winnipeg, Manitoba, CAN"
Lars Eller,20,C,L,6′2″,208,1989-05-08,"Rodovre, DNK"
Sidney Crosby,87,C,L,5′11″,200,1987-08-07,"Cole Harbour, Nova Scotia, CAN"
Michael Bunting,8,LW,L,6′0″,186,1995-09-17,"Scarborough, Ontario, CAN"
Anthony Beauvillier,72,LW,L,5′11″,180,1997-06-08,"Sorel-Tracy, Quebec, CAN"
Noel Acciari,55,C,R,5′11″,209,1991-12-01,"Johnston, Rhode Island, USA"
