How many Super Bowl titles have the Pittsburgh Steelers won?,6 titles.
Who opened Pittsburgh’s first Black-owned restaurant in 1795?,Charles Richards
"When does the Pittsburgh Cultural Trust hold the exhibition ""On Air: Lenka Clayton & Phillip Andrew Lewis""?","July 26, 2025 to February 16, 2025."
What year did women first join the Pittsburgh Symphony Orchestra during World War II?,"1943 (Based on the given context, it is assumed that the Pittsburgh Symphony Orchestra is the organization referred to in the question. However, there is no specific document provided to confirm this assumption.)"
How much does a fixed-price 3-course meal cost during Pittsburgh Restaurant Week 2025?,Information about Pittsburgh Restaurant Week 2025 is not provided in the related documents.
When is Pittsburgh Restaurant Week in Winter 2024?,"January 15 to January 21, 2024."
What is the FTE (Full-Time Equivalent) for the Director - City Treasurer position in 2024?,27.15 (The FTE for the Director - City Treasurer position in 2024 is 27.15)
What is the estimated cost to inject a 10-inch diameter tree with systemic control?,"10,400 dollars."
What was Pittsburgh known as by 1850 due to its growing industry?,Pittsburgh was known as a place of refuge for slaves escaping to the North and Canada due to the passage of the Fugitive Slave Act.
What major fire in Pittsburgh occurred in 1845?,A great fire burned out of control destroying over a thousand buildings and causing 9M in damages.
What is the theme for Pittsburgh Restaurant Week Winter 2025?,The documents do not provide information on the theme for Pittsburgh Restaurant Week Winter 2025.
When is the Original Pittsburgh Taco Festival in 2024?,"2024, specific date not provided in the document."
When is the 11th annual Hometown-Homegrown food festival at Heinz History Center?,I cannot answer this question directly from the provided documents. The documents do not contain any information about the Hometown-Homegrown food festival.
What two rivers unite at the “Golden Triangle” in Pittsburgh?,The Allegheny River and the Monongahela River.
What is the iconic fan symbol associated with the Steelers?,Football icon.
When did the Three Rivers Stadium open?,1970.
What scholarship fund receives a portion of the proceeds from the Hall of Honor Museum?,Not provided in the related documents.
In what year did Carnegie Mellon University merge with the Mellon Institute?,1967.
Who received the NEMO Award from the ToonSeum for excellence in cartoon arts?,4. Ron Frenz
How much is the general admission to The Frick Pittsburgh for an adult?,20.
When is the Holiday Handbell: Ring Pittsburgh event at The Frick?,"December 7, 2024, 2:00 PM - 3:15 PM."
What is the highest ranking CMU achieved in undergraduate computer science according to U.S. News & World Report 2023?,1st place.
"Which executive holds the title of Senior Manager, Club Seat Sales and Retention?",George Birman.
What is the nickname given to the Steelers' fanbase?,"The Steelers' fanbase is known for its consistency, loyalty, and respectability."
What organization hosted the Science of Hockey program?,Carnegie Science Center’s Science on the Road outreach initiative.
What museum in Pittsburgh has a collection of over 200 musical compositions by Stephen Foster?,The Andy Warhol Museum
"When is ""Alumni Awards Ceremony"" of CMU held at Pittsburgh?","November 1, 2024, at 6:30 pm."
Is there an official dress code for Heinz Hall?,"No, there is no official dress code for Heinz Hall. Patrons can wear whatever makes them feel comfortable."
What can visitors expect at The Frick's Car and Carriage Museum?,Visitors can expect a new tour and a talk by Dr. Thomas Kinney on the shift from carriages to automobiles. Tickets for the talk can be purchased here.
When will NACADA's 2024 Annual Conference take place?,"October 27 to 30, 2024."
Where can I park when attending a concert at Heinz Hall?,6th and Penn garage across from Heinz Hall.
What is the hourly rate for a part-time Law Clerk in 2024?,13.40 dollars per hour.
How often must the Payroll Tax be paid?,The Payroll Tax must be paid quarterly.
"When is the ""Shimmering Soundscapes"" concert happening","Sat Nov 9, 7:30 pm."
What are the Saturday box office hours for the Pittsburgh Symphony Orchestra?,12:00 PM to 8:00 PM.
What are the normal operating hours for Pittsburgh parks?,"10:00 AM to 6:00 PM on weekdays, 12:00 PM to 8:00 PM on Saturdays, and 12:00 PM to 4:00 PM on Sundays. Closed on nonperformance days."
What is the Soldiers and Sailors Memorial Hall dedicated to?,Honoring military service members since the Civil War through artifacts and personal mementos.
"What can I explore in the exhibition ""Pittsburgh: A Tradition of Innovation""?","The exhibition ""Pittsburgh: A Tradition of Innovation"" explores the history of Pittsburgh and its role in American innovation."
Who is the Manager of Ticket Sales and Operations?,Lauren Hansen or Thomas McCarty.
How much is the 2024 budget for the Financial Analyst position?,"7,531,597."
How many restaurants typically participate in Pittsburgh Restaurant Week?,"The number of restaurants participating in Pittsburgh Restaurant Week varies from season to season, as indicated in the provided document."
What does the Stephen Foster Memorial Museum house?,"The Stephen Foster Memorial Museum houses the Society for American Music and the University of Pittsburgh's Center for Americans Music, which includes a research library, archive, and museum dedicated to expanding and documenting knowledge of American music and its role in American life."
Who was the first known European to explore the Pittsburgh region?,Robert de La Salle
Who created the smiley :-) while working at Carnegie Mellon University?,"The smiley :-) was not created at Carnegie Mellon University. It was first used in a message by Scott Fahlman in 1982 while working at Carnegie Mellon University's Computer Science Department, but it was not created there."
"Where is the ""Kim Bond: We Are Not Alone"" exhibition held?","707 Gallery, Pittsburgh PA."
When is Pittsburgh Restaurant Week in Summer 2024?,"August 12, 2024 to August 18, 2024."
"What can visitors learn about at the ""Pittsburgh: A Tradition of Innovation"" exhibit?","Visitors can learn about Pittsburgh's history of innovation in various fields such as sports, arts, culture, technology, and more."
"When did Pittsburgh's population peak at more than 675,000?",1940
What organization should private tree planters register their trees with?,Forestry Division
"What can you find in the ""Pittsburgh: A Tradition of Innovation"" exhibit at Heinz History Center?","Interactive exhibits, including the Neighborhood of Make-Believe, Discovery Place, Kidsburg, and the Western Pennsylvania Sports Museum."
